# List distributed by iblocklist.com
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#1) CINS Army:1.116.10.150-1.116.10.150
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#2) CINS Army:1.116.106.122-1.116.106.122
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#3) CINS Army:1.116.114.248-1.116.114.248
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#4) CINS Army:1.116.126.84-1.116.126.84
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#5) CINS Army:1.116.151.34-1.116.151.34
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#6) CINS Army:1.116.161.241-1.116.161.241
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#7) CINS Army:1.116.178.29-1.116.178.29
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#8) CINS Army:1.116.179.58-1.116.179.58
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#9) CINS Army:1.116.189.170-1.116.189.170
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#10) CINS Army:1.116.201.8-1.116.201.8
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#11) CINS Army:1.116.205.244-1.116.205.244
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#12) CINS Army:1.116.221.98-1.116.221.98
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#13) CINS Army:1.116.237.179-1.116.237.179
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#14) CINS Army:1.116.28.34-1.116.28.34
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#15) CINS Army:1.116.37.178-1.116.37.178
