# List distributed by iblocklist.com
web_attacks__czvaehmjpsnwwttrdoyl (#1) cruzit blocked:1.234.4.69-1.234.4.69
web_attacks__czvaehmjpsnwwttrdoyl (#2) cruzit blocked:1.9.7.197-1.9.7.197
web_attacks__czvaehmjpsnwwttrdoyl (#3) cruzit blocked:101.79.5.58-101.79.5.58
web_attacks__czvaehmjpsnwwttrdoyl (#4) cruzit blocked:103.8.27.10-103.8.27.10
web_attacks__czvaehmjpsnwwttrdoyl (#5) cruzit blocked:107.20.14.98-107.20.14.98
web_attacks__czvaehmjpsnwwttrdoyl (#6) cruzit blocked:107.20.96.34-107.20.96.34
web_attacks__czvaehmjpsnwwttrdoyl (#7) cruzit blocked:107.21.141.114-107.21.141.114
web_attacks__czvaehmjpsnwwttrdoyl (#8) cruzit blocked:107.22.162.155-107.22.162.155
web_attacks__czvaehmjpsnwwttrdoyl (#9) cruzit blocked:107.22.163.11-107.22.163.11
web_attacks__czvaehmjpsnwwttrdoyl (#10) cruzit blocked:108.178.15.210-108.178.15.210
web_attacks__czvaehmjpsnwwttrdoyl (#11) cruzit blocked:108.67.148.87-108.67.148.87
web_attacks__czvaehmjpsnwwttrdoyl (#12) cruzit blocked:109.104.74.88-109.104.74.88
web_attacks__czvaehmjpsnwwttrdoyl (#13) cruzit blocked:109.104.76.142-109.104.76.142
web_attacks__czvaehmjpsnwwttrdoyl (#14) cruzit blocked:109.104.87.199-109.104.87.199
web_attacks__czvaehmjpsnwwttrdoyl (#15) cruzit blocked:109.120.141.160-109.120.141.160
web_attacks__czvaehmjpsnwwttrdoyl (#16) cruzit blocked:109.120.141.220-109.120.141.220
web_attacks__czvaehmjpsnwwttrdoyl (#17) cruzit blocked:109.120.144.247-109.120.144.247
web_attacks__czvaehmjpsnwwttrdoyl (#18) cruzit blocked:109.123.117.146-109.123.117.146
web_attacks__czvaehmjpsnwwttrdoyl (#19) cruzit blocked:109.123.118.162-109.123.118.162
web_attacks__czvaehmjpsnwwttrdoyl (#20) cruzit blocked:109.123.120.107-109.123.120.107
web_attacks__czvaehmjpsnwwttrdoyl (#21) cruzit blocked:109.169.74.123-109.169.74.123
web_attacks__czvaehmjpsnwwttrdoyl (#22) cruzit blocked:109.210.97.157-109.210.97.157
web_attacks__czvaehmjpsnwwttrdoyl (#23) cruzit blocked:109.230.251.8-109.230.251.8
web_attacks__czvaehmjpsnwwttrdoyl (#24) cruzit blocked:109.237.214.77-109.237.214.77
web_attacks__czvaehmjpsnwwttrdoyl (#25) cruzit blocked:109.61.10.121-109.61.10.121
web_attacks__czvaehmjpsnwwttrdoyl (#26) cruzit blocked:109.70.36.102-109.70.36.102
